views,comments,duration,num_speaker,languages,event,main_speaker,name,speaker_occupation,title,description
673036,85,843,1,22,TEDGlobal 2005,Robert Neuwirth,Robert Neuwirth: The hidden world of shadow cities,Author,The hidden world of shadow cities,"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour."
2121177,203,1046,1,29,TEDGlobal 2005,Martin Rees,Martin Rees: Is this our final century?,Astrophysicist,Is this our final century?,"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development."
1409327,91,1141,1,24,TEDGlobal 2005,Charles Leadbeater,Charles Leadbeater: The era of open innovation,Innovation consultant,The era of open innovation,"In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't."
2441805,226,1155,1,30,TEDGlobal 2005,Carl Honoré,Carl Honoré: In praise of slowness,Journalist,In praise of slowness,"Journalist Carl Honore believes the Western world's emphasis on speed erodes health, productivity and quality of life. But there's a backlash brewing, as everyday people start putting the brakes on their all-too-modern lives."
1392010,107,1054,1,32,TEDGlobal 2005,Alex Steffen,Alex Steffen: The route to a sustainable future,Planetary futurist,The route to a sustainable future,"Worldchanging.com founder Alex Steffen argues that reducing humanity’s ecological footprint is incredibly vital now, as the western consumer lifestyle spreads to developing countries."
761930,27,850,1,24,TEDGlobal 2005,Paul Bennett,Paul Bennett: Design is in the details,"Designer; creative director, Ideo",Design is in the details,"Showing a series of inspiring, unusual and playful products, British branding and design guru Paul Bennett explains that design doesn't have to be about grand gestures, but can solve small, universal and overlooked problems."
762264,131,1012,1,24,TEDGlobal 2005,Nick Bostrom,Nick Bostrom: A philosophical quest for our biggest problems,Philosopher,A philosophical quest for our biggest problems,Oxford philosopher and transhumanist Nick Bostrom examines the future of humankind and asks whether we might alter the fundamental nature of humanity to solve our most intrinsic problems.
560904,34,1011,1,21,TEDGlobal 2005,Craig Venter,Craig Venter: Sampling the ocean's DNA,"Biologist, genetics pioneer",Sampling the ocean's DNA,Genomics pioneer Craig Venter takes a break from his epic round-the-world expedition to talk about the millions of genes his team has discovered so far in its quest to map the ocean's biodiversity.
648234,97,1070,1,20,TEDGlobal 2007,George Ayittey,George Ayittey: Africa's cheetahs versus hippos,Economist,Africa's cheetahs versus hippos,"Ghanaian economist George Ayittey unleashes a torrent of controlled anger toward corrupt leaders in Africa -- and calls on the ""Cheetah generation"" to take back the continent."
524049,108,1330,1,21,TEDGlobal 2007,Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala: Aid versus trade,Economist,Aid versus trade,"Ngozi Okonjo-Iweala, the former finance minister of Nigeria, sums up four days of intense discussion on aid versus trade on the closing day of TEDGlobal 2007, and shares a personal story explaining her own commitment to this cause."
1543596,174,252,1,44,TEDGlobal 2007,William Kamkwamba,William Kamkwamba: How I built a windmill,Inventor,How I built a windmill,"When he was just 14 years old, Malawian inventor William Kamkwamba built his family an electricity-generating windmill from spare parts, working from rough plans he found in a library book."
335086,31,1141,1,21,TEDGlobal 2007,Euvin Naidoo,Euvin Naidoo: Why invest in Africa,Investment banker,Why invest in Africa,South African investment banker Euvin Naidoo explains why investing in Africa can make great business sense.
1216429,150,1051,1,27,TEDGlobal 2007,Patrick Awuah,Patrick Awuah: How to educate leaders? Liberal arts,University founder,How to educate leaders? Liberal arts,"A liberal arts education is critical to forming true leaders, says university head Patrick Awuah -- because it builds decision-making skills, an ethical framework and a broad vision. Awuah himself left a career at Microsoft in the US to found a liberal arts school in Africa: Ashesi University, in his home nation of Ghana. A passionate talk about dreaming, doing and leading."
561703,77,1056,1,21,TEDGlobal 2007,Chris Abani,Chris Abani: Telling stories from Africa,"Novelist, poet",Telling stories from Africa,"In this deeply personal talk, Nigerian writer Chris Abani says that ""what we know about how to be who we are"" comes from stories. He searches for the heart of Africa through its poems and narrative, including his own."
836269,106,1103,1,26,TEDGlobal 2007,Jacqueline Novogratz,Jacqueline Novogratz: Patient capitalism,Investor and advocate for moral leadership,Patient capitalism,"Jacqueline Novogratz shares stories of how ""patient capital"" can bring sustainable jobs, goods, services -- and dignity -- to the world's poorest."
531957,60,606,1,21,TEDGlobal 2007,Vusi Mahlasela,"Vusi Mahlasela: ""Thula Mama""","Musician, activist",Thula Mama,"South African singer-songwriter Vusi Mahlasela dedicates his song, ""Thula Mama,"" to all women -- and especially his grandmother."
416603,36,299,1,0,TEDGlobal 2007,Vusi Mahlasela,"Vusi Mahlasela: ""Woza""","Musician, activist",Woza,"After Vusi Mahlasela's 3-song set at TEDGlobal, the audience wouldn't let him go. His encore, ""Woza,"" showcases his brilliant guitar playing and multilingual lyrics."
722877,126,1027,1,30,TEDGlobal 2007,Andrew Mwenda,Andrew Mwenda: Aid for Africa? No thanks.,Journalist,Aid for Africa? No thanks.,"In this provocative talk, journalist Andrew Mwenda asks us to reframe the ""African question"" -- to look beyond the media's stories of poverty, civil war and helplessness and see the opportunities for creating wealth and happiness throughout the continent."
1914263,124,1047,1,32,TEDGlobal 2005,Steven Pinker,Steven Pinker: What our language habits reveal,Psychologist,What our language habits reveal,"In an exclusive preview of his book <i>The Stuff of Thought</i>, Steven Pinker looks at language and how it expresses what goes on in our minds -- and how the words we choose communicate much more than we realize."
913666,65,951,1,26,TEDGlobal 2007,Zeresenay Alemseged,Zeresenay Alemseged: The search for humanity's roots,Paleoanthropologist,The search for humanity's roots,Paleoanthropologist Zeresenay Alemseged looks for the roots of humanity in Ethiopia's badlands. Here he talks about finding the oldest skeleton of a humanoid child -- and how Africa holds the clues to our humanity.
562457,64,1234,1,21,TEDGlobal 2007,Eleni Gabre-Madhin,Eleni Gabre-Madhin: A commodities exchange for Ethiopia,Economist,A commodities exchange for Ethiopia,"Economist Eleni Gabre-Madhin outlines her ambitious vision to found the first commodities market in Ethiopia. Her plan would create wealth, minimize risk for farmers and turn the world's largest recipient of food aid into a regional food basket."
1527858,185,1017,1,22,TEDGlobal 2007,Ron Eglash,Ron Eglash: The fractals at the heart of African designs,Mathematician,The fractals at the heart of African designs,"'I am a mathematician, and I would like to stand on your roof.' That is how Ron Eglash greeted many African families he met while researching the fractal patterns he'd noticed in villages across the continent."
670863,34,1056,1,22,TEDGlobal 2005,Alison Jackson,Alison Jackson: An unusual glimpse at celebrity,Artist,An unusual glimpse at celebrity,"By making photographs that seem to show our favorite celebs (Diana, Elton John) doing what we really, secretly, want to see them doing, Alison Jackson explores our desire to get personal with celebs. Contains graphic images."
200726,43,326,1,29,TEDGlobal 2007,Joseph Lekuton,Joseph Lekuton: A parable for Kenya,Kenyan MP,A parable for Kenya,"Joseph Lekuton, a member of parliament in Kenya, starts with the story of his remarkable education, then offers a parable of how Africa can grow. His message of hope has never been more relevant."
294936,67,419,1,0,TEDGlobal 2007,Rokia Traore,"Rokia Traore: ""M'Bifo""",Singer-songwriter,M'Bifo,"Rokia Traore sings the moving ""M'Bifo,"" accompanied on the n'goni, a lute-like Malian stringed instrument with a soulful timbre. A quietly mesmerizing performance."
753974,92,1072,1,24,TEDGlobal 2005,Yochai Benkler,Yochai Benkler: The new open-source economics,Legal expert,The new open-source economics,Yochai Benkler explains how collaborative projects like Wikipedia and Linux represent the next stage of human organization.
371754,51,1003,1,19,TEDGlobal 2007,Ernest Madu,Ernest Madu: World-class health care,Cardiologist,World-class health care,"Dr. Ernest Madu runs the Heart Institute of the Caribbean in Kingston, Jamaica, where he proves that -- with careful design, smart technical choices, and a true desire to serve -- it's possible to offer world-class healthcare in the developing world."
315244,32,1197,1,18,TEDGlobal 2007,Hector Ruiz,Hector Ruiz: The thinking behind 50x15,CEO,The thinking behind 50x15,"Hector Ruiz, the executive chair of AMD, wants to give Internet access to everyone. In this talk, he shares his extraordinary life story and describes AMD's 50x15 initiative that calls for connecting 50 percent of the world by 2015."
230569,49,863,1,21,TEDGlobal 2007,Seyi Oyesola,Seyi Oyesola: A hospital tour in Nigeria,Doctor,A hospital tour in Nigeria,Dr. Seyi Oyesola takes a searing look at health care in underdeveloped countries. His photo tour of a Nigerian teaching hospital -- all low-tech hacks and donated supplies -- drives home the challenge of doing basic health care there.
82488,43,386,1,0,TEDGlobal 2007,Rokia Traore,"Rokia Traore: ""Kounandi""",Singer-songwriter,Kounandi,"Singer-songwriter Rokia Traore performs ""Kounandi,"" a breathtaking song that blends Malian instruments with a modern, heartfelt vocal. Note: This song is not available for download."
749952,119,1138,1,25,TEDGlobal 2005,Steven Levitt,Steven Levitt: Surprising stats about child carseats,Economist,Surprising stats about child carseats,"Steven Levitt shares data that shows car seats are no more effective than seatbelts in protecting kids from dying in cars. However, during the question and answer session, he makes one crucial caveat."
368974,41,1098,1,20,TEDGlobal 2007,Corneille Ewango,Corneille Ewango: A hero of the Congo forest,Botanist and activist,A hero of the Congo forest,"Botanist Corneille Ewango talks about his work at the Okapi Faunal Reserve in the Congo Basin -- and his heroic work protecting it from poachers, miners and raging civil wars."
1097533,64,1246,1,24,TEDGlobal 2005,Clay Shirky,Clay Shirky: Institutions vs. collaboration,Social Media Theorist,Institutions vs. collaboration,"In this prescient 2005 talk, Clay Shirky shows how closed groups and companies will give way to looser networks where small contributors have big roles and fluid cooperation replaces rigid planning."
294961,15,153,1,43,TEDGlobal 2007,Marisa Fick-Jordan,Marisa Fick-Jordan: The wonder of Zulu wire art,"Craft artist, product designer",The wonder of Zulu wire art,"In this short, image-packed talk, Marisa Fick-Jordan talks about how a village of traditional Zulu wire weavers built a worldwide market for their dazzling work."
580298,93,982,1,21,TEDGlobal 2007,Kwabena Boahen,Kwabena Boahen: A computer that works like the brain,Bioengineer,A computer that works like the brain,"Researcher Kwabena Boahen is looking for ways to mimic the brain's supercomputing powers in silicon -- because the messy, redundant processes inside our heads actually make for a small, light, superfast computer."
665947,90,1253,1,22,TEDGlobal 2007,Spencer Wells,Spencer Wells: A family tree for humanity,Genographer,A family tree for humanity,"All humans share some common bits of DNA, passed down to us from our African ancestors. Geneticist Spencer Wells talks about how his Genographic Project will use this shared DNA to figure out how we are -- in all our diversity -- truly connected."
321896,92,998,1,19,TEDGlobal 2007,Ory Okolloh,Ory Okolloh: How I became an activist,Blogger and activist,How I became an activist,Ory Okolloh tells the story of her life and her family -- and how she came to do her heroic work reporting on the doings of Kenya's parliament.
504508,91,931,1,21,TEDGlobal 2005,Peter Diamandis,Peter Diamandis: Our next giant leap,Space activist,Our next giant leap,"Peter Diamandis says it's our moral imperative to keep exploring space -- and he talks about how, with the X Prize and other incentives, we're going to do just that."
556147,62,1426,1,26,TEDGlobal 2007,Jane Goodall,Jane Goodall: How humans and animals can live together,Primatologist; environmentalist,How humans and animals can live together,"The legendary chimpanzee researcher Jane Goodall talks about TACARE and her other community projects, which help people in booming African towns live side-by-side with threatened animals."
1074170,97,825,1,27,TEDGlobal 2005,Eve Ensler,Eve Ensler: What security means to me,"Playwright, activist",What security means to me,"Playwright Eve Ensler explores our modern craving for security -- and why it makes us less secure. Listen for inspiring, heartbreaking stories of women making change."
330238,37,1124,1,20,TEDGlobal 2007,Newton Aduaka,Newton Aduaka: The story of Ezra,Filmmaker,The story of Ezra,"Filmmaker Newton Aduaka shows clips from his powerful, lyrical feature film ""Ezra,"" about a child soldier in Sierra Leone."
223082,36,1054,1,19,TEDGlobal 2007,Franco Sacchi,"Franco Sacchi: A tour of Nollywood, Nigeria's booming film industry",Filmmaker,"A tour of Nollywood, Nigeria's booming film industry","Zambia-born filmmaker Franco Sacchi tours us through Nollywood, Nigeria's booming film industry (the world's 3rd largest). Guerrilla filmmaking and brilliance under pressure from crews that can shoot a full-length feature in a week."
3707266,230,2018,1,31,TEDGlobal 2005,Dan Gilbert,Dan Gilbert: Why we make bad decisions,Psychologist; happiness expert,Why we make bad decisions,Dan Gilbert presents research and data from his exploration of happiness -- sharing some surprising tests and experiments that you can also try on yourself. Watch through to the end for a sparkling Q&A with some familiar TED faces.
811914,514,1003,1,27,TEDGlobal 2009,Gordon Brown,Gordon Brown: Wiring a web for global good,British Prime Minister,Wiring a web for global good,"We're at a unique moment in history, says UK Prime Minister Gordon Brown: we can use today's interconnectedness to develop our shared global ethic -- and work together to confront the challenges of poverty, security, climate change and the economy."
5790615,471,1011,1,47,TEDGlobal 2009,Alain de Botton,"Alain de Botton: A kinder, gentler philosophy of success",Philosopher,"A kinder, gentler philosophy of success","Alain de Botton examines our ideas of success and failure -- and questions the assumptions underlying these two judgments. Is success always earned? Is failure? He makes an eloquent, witty case to move beyond snobbery to find true pleasure in our work."
1038576,621,1033,1,27,TEDGlobal 2009,Elaine Morgan,Elaine Morgan: I believe we evolved from aquatic apes,Aquatic ape theorist,I believe we evolved from aquatic apes,"Elaine Morgan was a tenacious proponent of a theory that is not widely accepted. The aquatic ape hypothesis lays out the idea that humans evolved from primate ancestors who dwelt in watery habitats. Hear her spirited defense of the idea -- and her theory on why science doesn't take it seriously. NOTE: Statements in this talk have been challenged by scientists working in this field. Read ""Criticisms & updates"" below for more details."
640722,103,1183,1,21,TEDGlobal 2009,Willard Wigan,Willard Wigan: Hold your breath for micro-sculpture,Micro-sculptor,Hold your breath for micro-sculpture,"Willard Wigan tells the story of how a difficult and lonely childhood drove him to discover his unique ability -- to create art so tiny that it can't be seen with the naked eye. His slideshow of figures, as seen through a microscope, can only be described as mind-boggling."
3573198,752,571,1,32,TEDGlobal 2009,Michael Pritchard,Michael Pritchard: How to make filthy water drinkable,Inventor,How to make filthy water drinkable,"Too much of the world lacks access to clean drinking water. Engineer Michael Pritchard did something about it -- inventing the portable Lifesaver filter, which can make the most revolting water drinkable in seconds. An amazing demo from TEDGlobal 2009."
572392,403,1109,1,25,TEDGlobal 2009,Paul Romer,Paul Romer: Why the world needs charter cities,"Chief Economist and Senior Vice President, World Bank",Why the world needs charter cities,"How can a struggling country break out of poverty if it's trapped in a system of bad rules? Economist Paul Romer unveils a bold idea: ""charter cities,"" city-scale administrative zones governed by a coalition of nations. (Could Guantánamo Bay become the next Hong Kong?)"
1118954,141,1062,1,28,TEDGlobal 2009,Janine Benyus,Janine Benyus: Biomimicry in action,"Science writer, innovation consultant, conservationist",Biomimicry in action,"Janine Benyus has a message for inventors: When solving a design problem, look to nature first. There you'll find inspired designs for making things waterproof, aerodynamic, solar-powered and more. Here she reveals dozens of new products that take their cue from nature with spectacular results."
776516,210,1083,1,24,TEDGlobal 2009,Emmanuel Jal,Emmanuel Jal: The music of a war child,Hip-hop artist,The music of a war child,"For five years, young Emmanuel Jal fought as a child soldier in the Sudan. Rescued by an aid worker, he's become an international hip-hop star and an activist for kids in war zones. In words and lyrics, he tells the story of his amazing life."
18830983,1094,1116,1,44,TEDGlobal 2009,Dan Pink,Dan Pink: The puzzle of motivation,Career analyst,The puzzle of motivation,"Career analyst Dan Pink examines the puzzle of motivation, starting with a fact that social scientists know but most managers don't: Traditional rewards aren't always as effective as we think. Listen for illuminating stories -- and maybe, a way forward."
2088983,428,609,1,27,TEDGlobal 2009,Eric Giler,Eric Giler: A demo of wireless electricity,Wireless electrician,A demo of wireless electricity,"Eric Giler wants to untangle our wired lives with cable-free electric power. Here, he covers what this sci-fi tech offers, and demos MIT's breakthrough version, WiTricity -- a near-to-market invention that may soon recharge your cell phone, car, pacemaker."
679728,99,1028,1,26,TEDGlobal 2009,Cary Fowler,"Cary Fowler: One seed at a time, protecting the future of food",Biodiversity archivist,"One seed at a time, protecting the future of food","The wheat, corn and rice we grow today may not thrive in a future threatened by climate change. Cary Fowler takes us inside the Svalbard Global Seed Vault, a vast treasury buried within a frozen mountain in Norway, that stores a diverse group of food-crop seeds ... for whatever tomorrow may bring."
751452,118,334,1,27,TEDGlobal 2009,Joshua Silver,Joshua Silver: Adjustable liquid-filled eyeglasses,Optical innovator,Adjustable liquid-filled eyeglasses,"Josh Silver delivers his brilliantly simple solution for correcting vision at the lowest cost possible -- adjustable, liquid-filled lenses. At TEDGlobal 2009, he demos his affordable eyeglasses and reveals his global plan to distribute them to a billion people in need by 2020."
308233,91,1080,1,19,TEDGlobal 2009,Geoff Mulgan,"Geoff Mulgan: Post-crash, investing in a better world",Social commentator,"Post-crash, investing in a better world","As we reboot the world's economy, Geoff Mulgan poses a question: Instead of sending bailout money to doomed old industries, why not use stimulus funds to bootstrap some new, socially responsible companies -- and make the world a little bit better?"
811565,125,279,1,32,TEDGlobal 2009,Evan Grant,Evan Grant: Making sound visible through cymatics,Creative technologist,Making sound visible through cymatics,"Evan Grant demonstrates the science and art of cymatics, a process for making soundwaves visible. Useful for analyzing complex sounds (like dolphin calls), it also makes complex and beautiful designs."
571893,60,870,1,20,TEDGlobal 2009,Steve Truglia,Steve Truglia: A leap from the edge of space,Stuntman,A leap from the edge of space,"At his day job, Steve Truglia flips cars, walks through fire and falls out of buildings -- pushing technology to make stunts bigger, safer, more awesome. He talks us through his next stunt: the highest jump ever attempted, from the very edge of space."
914170,288,1162,1,21,TEDGlobal 2009,James Balog,James Balog: Time-lapse proof of extreme ice loss,Photographer,Time-lapse proof of extreme ice loss,"Photographer James Balog shares new image sequences from the Extreme Ice Survey, a network of time-lapse cameras recording glaciers receding at an alarming rate, some of the most vivid evidence yet of climate change."
689476,110,1133,1,23,TEDGlobal 2009,Lewis Pugh,Lewis Pugh: How I swam the North Pole,Coldwater swimmer,How I swam the North Pole,Lewis Pugh talks about his record-breaking swim across the North Pole. He braved the icy waters (in a Speedo) to highlight the melting icecap. Watch for astonishing footage -- and some blunt commentary on the realities of supercold-water swims.
2856240,386,1011,1,33,TEDGlobal 2009,Rebecca Saxe,Rebecca Saxe: How we read each other's minds,Cognitive neuroscientist,How we read each other's minds,"Sensing the motives and feelings of others is a natural talent for humans. But how do we do it? Here, Rebecca Saxe shares fascinating lab work that uncovers how the brain thinks about other peoples' thoughts -- and judges their actions."
891314,91,1170,1,32,TEDGlobal 2009,Misha Glenny,Misha Glenny: How global crime networks work,Underworld investigator,How global crime networks work,"Journalist Misha Glenny spent several years in a courageous investigation of  organized crime networks worldwide, which have grown to an estimated 15% of the global economy. From the Russian mafia, to giant drug cartels, his sources include not just intelligence and law enforcement officials but criminal insiders."
2129938,227,1094,1,29,TEDGlobal 2009,Bjarke Ingels,Bjarke Ingels: 3 warp-speed architecture tales,Architect,3 warp-speed architecture tales,"Danish architect Bjarke Ingels rockets through photo/video-mingled stories of his eco-flashy designs. His buildings not only look like nature -- they act like nature: blocking the wind, collecting solar energy -- and creating stunning views."
1159134,108,624,1,31,TEDGlobal 2009,John Lloyd,John Lloyd: An inventory of the invisible,Producer,An inventory of the invisible,"Nature's mysteries meet tack-sharp wit in this hilarious, 10-minute mix of quips and fun lessons, as comedian, writer and TV man John Lloyd plucks at the substance of several things not seen."
883282,91,237,1,30,TEDGlobal 2009,Imogen Heap,"Imogen Heap: ""Wait It Out""",Musician,Wait It Out,"Imogen Heap plays a powerful stripped-down version of ""Wait It Out,"" from her new record, Ellipse."
717483,96,1191,1,24,TEDGlobal 2009,Jonathan Zittrain,Jonathan Zittrain: The Web as random acts of kindness,Net watchdog,The Web as random acts of kindness,"Feeling like the world is becoming less friendly? Social theorist Jonathan Zittrain begs to differ. The Internet, he suggests, is made up of millions of disinterested acts of kindness, curiosity and trust."
430276,110,713,1,29,TEDGlobal 2009,Evgeny Morozov,Evgeny Morozov: How the Net aids dictatorships,Internet scientist,How the Net aids dictatorships,"TED Fellow and journalist Evgeny Morozov punctures what he calls ""iPod liberalism"" -- the assumption that tech innovation always promotes freedom, democracy -- with chilling examples of ways the Internet helps oppressive regimes stifle dissent."
2161908,292,359,1,44,TEDGlobal 2009,William Kamkwamba,William Kamkwamba: How I harnessed the wind,Inventor,How I harnessed the wind,"At age 14, in poverty and famine, a Malawian boy built a windmill to power his family's home. Now at 22, William Kamkwamba, who speaks at TED, here, for the second time, shares in his own words the moving tale of invention that changed his life."
1581054,171,1052,1,25,TEDGlobal 2009,Taryn Simon,Taryn Simon: Photographs of secret sites,Photographer,Photographs of secret sites,"Taryn Simon exhibits her startling take on photography -- to reveal worlds and people we would never see otherwise. She shares two projects: one documents otherworldly locations typically kept secret from the public, the other involves haunting portraits of men convicted for crimes they did not commit."
935859,185,1133,1,26,TEDGlobal 2009,Parag Khanna,Parag Khanna: Mapping the future of countries,Global strategist,Mapping the future of countries,"Many people think the lines on the map no longer matter, but Parag Khanna says they do. Using maps of the past and present, he explains the root causes of border conflicts worldwide and proposes simple yet cunning solutions for each."
1340175,64,1010,1,22,TEDGlobal 2009,Tim Brown,Tim Brown: Designers -- think big!,Designer,Designers -- think big!,"Tim Brown says the design profession has a bigger role to play than just creating nifty, fashionable little objects. He calls for a shift to local, collaborative, participatory ""design thinking"" -- starting with the example of 19th-century design thinker Isambard Kingdom Brunel."
732390,311,594,1,30,TEDGlobal 2009,Karen Armstrong,Karen Armstrong: Let's revive the Golden Rule,Religious scholar,Let's revive the Golden Rule,"Weeks from the Charter for Compassion launch, Karen Armstrong looks at religion's role in the 21st century: Will its dogmas divide us? Or will it unite us for common good? She reviews the catalysts that can drive the world's faiths to rediscover the Golden Rule."
593547,70,952,1,23,TEDGlobal 2009,Garik Israelian,Garik Israelian: How spectroscopy could reveal alien life,Astrophysicist,How spectroscopy could reveal alien life,"Garik Israelian is a spectroscopist, studying the spectrum emitted by a star to figure out what it's made of and how it might behave. It's a rare and accessible look at this discipline, which may be coming close to finding a planet friendly to life."
2956967,158,1060,1,29,TEDGlobal 2009,Stefan Sagmeister,Stefan Sagmeister: The power of time off,Graphic designer,The power of time off,"Every seven years, designer Stefan Sagmeister closes his New York studio for a yearlong sabbatical to rejuvenate and refresh their creative outlook. He explains the often overlooked value of time off and shows the innovative projects inspired by his time in Bali."
1014285,111,940,1,31,TEDGlobal 2009,Carolyn Steel,Carolyn Steel: How food shapes our cities,Food urbanist,How food shapes our cities,"Every day, in a city the size of London, 30 million meals are served. But where does all the food come from? Architect Carolyn Steel discusses the daily miracle of feeding a city, and shows how ancient food routes shaped the modern world."
13298341,1155,1129,1,46,TEDGlobal 2009,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie: The danger of a single story,Novelist,The danger of a single story,"Our lives, our cultures, are composed of many overlapping stories. Novelist Chimamanda Adichie tells the story of how she found her authentic cultural voice -- and warns that if we hear only a single story about another person or country, we risk a critical misunderstanding."
5006241,234,990,1,35,TEDGlobal 2009,Beau Lotto,Beau Lotto: Optical illusions show how we see,"Neuroscientist, Artist",Optical illusions show how we see,"Beau Lotto's color games puzzle your vision, but they also spotlight what you can't normally see: how your brain works. This fun, first-hand look at your own versatile sense of sight reveals how evolution tints your perception of what's really out there."
739428,149,267,1,32,TEDGlobal 2009,Sam Martin,"Sam Martin: Claim your ""manspace""",Writer,"Claim your ""manspace""","Author Sam Martin shares photos of a quirky world hobby that's trending with the XY set: ""manspaces."" (They're custom-built hangouts where a man can claim a bit of his own territory to work, relax, be himself.) Grab a cold one and enjoy."
1431255,57,969,1,20,TEDGlobal 2009,Eric Sanderson,Eric Sanderson: New York -- before the City,Landscape ecologist,New York -- before the City,"400 years after Hudson found New York harbor, Eric Sanderson shares how he made a 3D map of Mannahatta's fascinating pre-city ecology of hills, rivers, wildlife -- accurate down to the block -- when Times Square was a wetland and you couldn't get delivery."
2882836,286,999,1,32,TEDGlobal 2009,Rory Sutherland,Rory Sutherland: Life lessons from an ad man,Advertising guru,Life lessons from an ad man,"Advertising adds value to a product by changing our perception, rather than the product itself. Rory Sutherland makes the daring assertion that a change in perceived value can be just as satisfying as what we consider “real” value -- and his conclusion has interesting consequences for how we look at life."
1180127,343,890,1,28,TEDGlobal 2009,Henry Markram,Henry Markram: A brain in a supercomputer,Neuroscientist,A brain in a supercomputer,"Henry Markram says the mysteries of the mind can be solved -- soon. Mental illness, memory, perception: they're made of neurons and electric signals, and he plans to find them with a supercomputer that models all the brain's 100,000,000,000,000 synapses."
1557795,184,346,1,33,TEDGlobal 2009,Julian Treasure,Julian Treasure: The 4 ways sound affects us,Sound consultant,The 4 ways sound affects us,"Playing sound effects both pleasant and awful, Julian Treasure shows how sound affects us in four significant ways. Listen carefully for a shocking fact about noisy open-plan offices."
2890058,207,1251,1,33,TEDGlobal 2009,Itay Talgam,Itay Talgam: Lead like the great conductors,Conductor and leadership expert,Lead like the great conductors,"An orchestra conductor faces the ultimate leadership challenge: creating perfect harmony without saying a word. In this charming talk, Itay Talgam demonstrates the unique styles of six great 20th-century conductors, illustrating crucial lessons for all leaders."
